14028S_operons	D23580_operons	LT2_operons	SL1344_operons	ST4-74_operons
14028S---operon_2765	D23580---operon_1962	LT2---operon_867	SL1344---operon_2750	ST4-74---operon_1407
14028S---operon_2172	D23580---operon_1125	LT2---operon_1197	SL1344---operon_1704	ST4-74---operon_1869
14028S---operon_2080	D23580---operon_1939	LT2---operon_2329	SL1344---operon_1026	ST4-74---operon_2689
14028S---operon_2628	D23580---operon_1608	LT2---operon_933	SL1344---operon_2319	ST4-74---operon_1444
14028S---operon_1667	D23580---operon_1931	LT2---operon_1834	SL1344---operon_2460	ST4-74---operon_1896
14028S---operon_2414	D23580---operon_1444	LT2---operon_1796	SL1344---operon_1256	ST4-74---operon_1545
14028S---operon_2158	D23580---operon_1241	LT2---operon_2344	SL1344---operon_1564	ST4-74---operon_2022
14028S---operon_2159	D23580---operon_1911	LT2---operon_860	SL1344---operon_2966	ST4-74---operon_1295
14028S---operon_2084	D23580---operon_2580	LT2---operon_2252	SL1344---operon_2295	ST4-74---operon_1056
14028S---operon_1044	D23580---operon_1522	LT2---operon_1938	SL1344---operon_2248	ST4-74---operon_1432
14028S---operon_2432	D23580---operon_989	LT2---operon_1510	SL1344---operon_2233	ST4-74---operon_1518
14028S---operon_1022	D23580---operon_1035	LT2---operon_2146	SL1344---operon_2809	ST4-74---operon_2713
14028S---operon_440	D23580---operon_460	LT2---operon_450	SL1344---operon_439	ST4-74---operon_466
14028S---operon_2142	D23580---operon_2031	LT2---operon_1473	SL1344---operon_1526	ST4-74---operon_2516
14028S---operon_2920	D23580---operon_2532	LT2---operon_2450	SL1344---operon_961	ST4-74---operon_2651
14028S---operon_1509	D23580---operon_2078	LT2---operon_2299	SL1344---operon_2005	ST4-74---operon_2505
14028S---operon_1110	D23580---operon_2522	LT2---operon_1921	SL1344---operon_2989	ST4-74---operon_2560
14028S---operon_2384	D23580---operon_1146	LT2---operon_1835	SL1344---operon_2438	ST4-74---operon_1143
14028S---operon_2311	D23580---operon_1197	LT2---operon_2025	SL1344---operon_2995	ST4-74---operon_1637
14028S---operon_2709	D23580---operon_2693	LT2---operon_1228	SL1344---operon_1293	ST4-74---operon_2357
14028S---operon_2871	D23580---operon_2054	LT2---operon_1591	SL1344---operon_1595	ST4-74---operon_2151
14028S---operon_692	D23580---operon_718	LT2---operon_707	SL1344---operon_695	ST4-74---operon_727
14028S---operon_1814	D23580---operon_1335	LT2---operon_1506	SL1344---operon_1548	ST4-74---operon_1211
14028S---operon_1992	D23580---operon_1345	LT2---operon_2488	SL1344---operon_2315	ST4-74---operon_2269
14028S---operon_2036	D23580---operon_991	LT2---operon_1220	SL1344---operon_1446	ST4-74---operon_1764
14028S---operon_1749	D23580---operon_1813	LT2---operon_1480	SL1344---operon_2397	ST4-74---operon_2132
14028S---operon_2236	D23580---operon_1012	LT2---operon_1075	SL1344---operon_1957	ST4-74---operon_947
14028S---operon_1330	D23580---operon_1408	LT2---operon_2195	SL1344---operon_1410	ST4-74---operon_1453
14028S---operon_1358	D23580---operon_1175	LT2---operon_1493	SL1344---operon_1627	ST4-74---operon_1307
14028S---operon_1335	D23580---operon_1585	LT2---operon_1960	SL1344---operon_1091	ST4-74---operon_1296
14028S---operon_1284	D23580---operon_2583	LT2---operon_967	SL1344---operon_1639	ST4-74---operon_2075
14028S---operon_1080	D23580---operon_1015	LT2---operon_1203	SL1344---operon_1160	ST4-74---operon_1280
14028S---operon_2474	D23580---operon_935	LT2---operon_2330	SL1344---operon_2721	ST4-74---operon_1189
14028S---operon_1096	D23580---operon_2335	LT2---operon_1511	SL1344---operon_1923	ST4-74---operon_1338
14028S---operon_812	D23580---operon_1988	LT2---operon_1854	SL1344---operon_2851	ST4-74---operon_2618
14028S---operon_223	D23580---operon_226	LT2---operon_218	SL1344---operon_218	ST4-74---operon_228
14028S---operon_1373	D23580---operon_1040	LT2---operon_1968	SL1344---operon_2783	ST4-74---operon_1379
14028S---operon_980	D23580---operon_1450	LT2---operon_1623	SL1344---operon_2924	ST4-74---operon_1386
14028S---operon_2876	D23580---operon_1438	LT2---operon_1458	SL1344---operon_2724	ST4-74---operon_1795
14028S---operon_1902	D23580---operon_2114	LT2---operon_2556	SL1344---operon_2224	ST4-74---operon_1378
14028S---operon_2452	D23580---operon_1746	LT2---operon_1462	SL1344---operon_2861	ST4-74---operon_2643
14028S---operon_2489	D23580---operon_1428	LT2---operon_2374	SL1344---operon_2417	ST4-74---operon_2138
14028S---operon_784	D23580---operon_815	LT2---operon_804	SL1344---operon_779	ST4-74---operon_829
14028S---operon_2035	D23580---operon_1158	LT2---operon_2049	SL1344---operon_2811	ST4-74---operon_2281
14028S---operon_190	D23580---operon_198	LT2---operon_191	SL1344---operon_188	ST4-74---operon_195
14028S---operon_273	D23580---operon_281	LT2---operon_270	SL1344---operon_276	ST4-74---operon_288
14028S---operon_2754	D23580---operon_2296	LT2---operon_2688	SL1344---operon_3006	ST4-74---operon_2277
14028S---operon_2226	D23580---operon_1576	LT2---operon_2493	SL1344---operon_1625	ST4-74---operon_2219
14028S---operon_1417	D23580---operon_2117	LT2---operon_1131	SL1344---operon_1169	ST4-74---operon_1412
14028S---operon_1160	D23580---operon_2249	LT2---operon_2568	SL1344---operon_1208	ST4-74---operon_964
14028S---operon_2469	D23580---operon_2147	LT2---operon_1697	SL1344---operon_1138	ST4-74---operon_2030
14028S---operon_279	D23580---operon_286	LT2---operon_276	SL1344---operon_281	ST4-74---operon_295
14028S---operon_1025	D23580---operon_2540	LT2---operon_1755	SL1344---operon_833	ST4-74---operon_1368
14028S---operon_1872	D23580---operon_1500	LT2---operon_2229	SL1344---operon_2737	ST4-74---operon_1083
14028S---operon_1215	D23580---operon_1972	LT2---operon_948	SL1344---operon_1304	ST4-74---operon_1127
14028S---operon_449	D23580---operon_470	LT2---operon_460	SL1344---operon_448	ST4-74---operon_476
14028S---operon_2485	D23580---operon_2017	LT2---operon_903	SL1344---operon_1265	ST4-74---operon_2386
14028S---operon_1453	D23580---operon_2093	LT2---operon_2068	SL1344---operon_1332	ST4-74---operon_2317
14028S---operon_2773	D23580---operon_1278	LT2---operon_2721	SL1344---operon_1524	ST4-74---operon_2605
14028S---operon_2014	D23580---operon_1018	LT2---operon_2466	SL1344---operon_2968	ST4-74---operon_2387
14028S---operon_1627	D23580---operon_2157	LT2---operon_1665	SL1344---operon_2863	ST4-74---operon_1098
14028S---operon_987	D23580---operon_1174	LT2---operon_1350	SL1344---operon_1555	ST4-74---operon_1033
14028S---operon_636	D23580---operon_662	LT2---operon_658	SL1344---operon_643	ST4-74---operon_671
14028S---operon_2750	D23580---operon_1044	LT2---operon_1575	SL1344---operon_854	ST4-74---operon_2111
14028S---operon_2867	D23580---operon_2685	LT2---operon_2537	SL1344---operon_2482	ST4-74---operon_1962
14028S---operon_772	D23580---operon_802	LT2---operon_791	SL1344---operon_767	ST4-74---operon_816
14028S---operon_2216	D23580---operon_1925	LT2---operon_1351	SL1344---operon_2946	ST4-74---operon_1457
14028S---operon_2456	D23580---operon_1469	LT2---operon_1296	SL1344---operon_1976	ST4-74---operon_1864
14028S---operon_575	D23580---operon_602	LT2---operon_599	SL1344---operon_581	ST4-74---operon_612
14028S---operon_864	D23580---operon_2474	LT2---operon_868	SL1344---operon_2587	ST4-74---operon_2190
14028S---operon_2702	D23580---operon_2471	LT2---operon_958	SL1344---operon_1679	ST4-74---operon_1650
14028S---operon_2850	D23580---operon_1385	LT2---operon_1982	SL1344---operon_2418	ST4-74---operon_2513
14028S---operon_937	D23580---operon_2038	LT2---operon_1963	SL1344---operon_1743	ST4-74---operon_2098
14028S---operon_1694	D23580---operon_1753	LT2---operon_1307	SL1344---operon_1997	ST4-74---operon_1815
14028S---operon_828	D23580---operon_1087	LT2---operon_2194	SL1344---operon_1891	ST4-74---operon_2368
14028S---operon_2445	D23580---operon_2651	LT2---operon_1026	SL1344---operon_1706	ST4-74---operon_1997
14028S---operon_2462	D23580---operon_2185	LT2---operon_2460	SL1344---operon_2664	ST4-74---operon_2222
14028S---operon_1126	D23580---operon_898	LT2---operon_1157	SL1344---operon_2888	ST4-74---operon_1834
14028S---operon_544	D23580---operon_571	LT2---operon_557	SL1344---operon_538	ST4-74---operon_571
14028S---operon_211	D23580---operon_215	LT2---operon_206	SL1344---operon_206	ST4-74---operon_215
14028S---operon_1534	D23580---operon_1538	LT2---operon_1813	SL1344---operon_2308	ST4-74---operon_1930
14028S---operon_1924	D23580---operon_1993	LT2---operon_874	SL1344---operon_1634	ST4-74---operon_1337
14028S---operon_750	D23580---operon_779	LT2---operon_770	SL1344---operon_747	ST4-74---operon_791
14028S---operon_1019	D23580---operon_1570	LT2---operon_1533	SL1344---operon_983	ST4-74---operon_2372
14028S---operon_493	D23580---operon_513	LT2---operon_503	SL1344---operon_489	ST4-74---operon_515
14028S---operon_1294	D23580---operon_1810	LT2---operon_2411	SL1344---operon_2615	ST4-74---operon_2719
14028S---operon_2045	D23580---operon_1673	LT2---operon_2752	SL1344---operon_2193	ST4-74---operon_2265
14028S---operon_1651	D23580---operon_1542	LT2---operon_1651	SL1344---operon_2865	ST4-74---operon_2393
14028S---operon_953	D23580---operon_2525	LT2---operon_1534	SL1344---operon_2102	ST4-74---operon_1502
14028S---operon_975	D23580---operon_1513	LT2---operon_2722	SL1344---operon_2157	ST4-74---operon_1519
14028S---operon_1413	D23580---operon_2664	LT2---operon_1873	SL1344---operon_2994	ST4-74---operon_2284
14028S---operon_825	D23580---operon_885	LT2---operon_2375	SL1344---operon_1855	ST4-74---operon_2127
14028S---operon_1432	D23580---operon_2056	LT2---operon_2506	SL1344---operon_2644	ST4-74---operon_2460
14028S---operon_1810	D23580---operon_868	LT2---operon_1454	SL1344---operon_1200	ST4-74---operon_950
14028S---operon_2231	D23580---operon_2618	LT2---operon_2558	SL1344---operon_1166	ST4-74---operon_2679
14028S---operon_2687	D23580---operon_2384	LT2---operon_2655	SL1344---operon_2286	ST4-74---operon_2273
14028S---operon_1425	D23580---operon_1687	LT2---operon_1698	SL1344---operon_1272	ST4-74---operon_2705
14028S---operon_1876	D23580---operon_1765	LT2---operon_2011	SL1344---operon_1387	ST4-74---operon_2220
14028S---operon_1066	D23580---operon_1050	LT2---operon_965	SL1344---operon_1730	ST4-74---operon_2519
14028S---operon_2185	D23580---operon_1382	LT2---operon_2467	SL1344---operon_1920	ST4-74---operon_1445
14028S---operon_2398	D23580---operon_2570	LT2---operon_1050	SL1344---operon_2816	ST4-74---operon_2491
14028S---operon_1204	D23580---operon_2382	LT2---operon_2271	SL1344---operon_1758	ST4-74---operon_2261
