14028S	D23580	LT2	SL1344	ST4-74
STM14_RS00570	D5R57_RS00005	STM0001	SL1344_RS00005	STM474_RS00005
STM14_RS00575	D5R57_RS00010	STM0002	SL1344_RS00010	STM474_RS00010
STM14_RS00580	D5R57_RS00015	STM0003	SL1344_RS00015	STM474_RS00015
STM14_RS00585	D5R57_RS00020	STM0004	SL1344_RS00020	STM474_RS00020
STM14_RS00600	D5R57_RS00035	STM0007	SL1344_RS00035	STM474_RS00035
STM14_RS00605	D5R57_RS00040	STM0008	SL1344_RS00040	STM474_RS00040
STM14_RS00625	D5R57_RS00060	STM0012	SL1344_RS00060	STM474_RS00060
STM14_RS00630	D5R57_RS00065	STM0013	SL1344_RS00065	STM474_RS00065
STM14_RS00635	D5R57_RS00070	STM0014	SL1344_RS00070	STM474_RS00070
STM14_RS00640	D5R57_RS00075	STM0015	SL1344_RS00075	STM474_RS00075
STM14_RS00655	D5R57_RS00090	STM0018	SL1344_RS00090	STM474_RS00090
STM14_RS00660	D5R57_RS00095	STM0019	SL1344_RS00095	STM474_RS00095
STM14_RS00665	D5R57_RS00100	STM0020	SL1344_RS00100	STM474_RS00100
STM14_RS00670	D5R57_RS00105	STM0021	SL1344_RS00105	STM474_RS00105
STM14_RS00675	D5R57_RS00110	STM0022	SL1344_RS00110	STM474_RS00110
STM14_RS00680	D5R57_RS00115	STM0023	SL1344_RS00115	STM474_RS00115
STM14_RS00685	D5R57_RS00120	STM0024	SL1344_RS00120	STM474_RS00120
STM14_RS00690	D5R57_RS00125	STM0025	SL1344_RS00125	STM474_RS00125
STM14_RS00695	D5R57_RS00130	STM0026	SL1344_RS00130	STM474_RS00130
STM14_RS00700	D5R57_RS00135	STM0027	SL1344_RS00135	STM474_RS00135
STM14_RS00705	D5R57_RS00140	STM0028	SL1344_RS00140	STM474_RS00140
STM14_RS00720	D5R57_RS00155	STM0030	SL1344_RS00155	STM474_RS00155
STM14_RS00730	D5R57_RS00165	STM0032	SL1344_RS00165	STM474_RS00165
STM14_RS00745	D5R57_RS00180	STM0035	SL1344_RS00180	STM474_RS00180
STM14_RS00750	D5R57_RS00185	STM0036	SL1344_RS00185	STM474_RS00185
STM14_RS00755	D5R57_RS00190	STM0037	SL1344_RS00190	STM474_RS00190
STM14_RS00760	D5R57_RS00195	STM0038	SL1344_RS00195	STM474_RS00195
STM14_RS00765	D5R57_RS00200	STM0039	SL1344_RS00200	STM474_RS00200
STM14_RS00770	D5R57_RS00205	STM0040	SL1344_RS00205	STM474_RS00205
STM14_RS00790	D5R57_RS00225	STM0044	SL1344_RS00225	STM474_RS00225
STM14_RS00795	D5R57_RS00230	STM0045	SL1344_RS00230	STM474_RS00230
STM14_RS00800	D5R57_RS00235	STM0046	SL1344_RS00235	STM474_RS00235
STM14_RS00805	D5R57_RS00240	STM0047	SL1344_RS00240	STM474_RS00240
STM14_RS00810	D5R57_RS00245	STM0048	SL1344_RS00245	STM474_RS00245
STM14_RS00815	D5R57_RS00250	STM0049	SL1344_RS00250	STM474_RS00250
STM14_RS00820	D5R57_RS00255	STM0050	SL1344_RS00255	STM474_RS00255
STM14_RS00825	D5R57_RS00260	STM0051	SL1344_RS00260	STM474_RS00260
STM14_RS00860	D5R57_RS00295	STM0058	SL1344_RS00295	STM474_RS00295
STM14_RS00865	D5R57_RS00300	STM0059	SL1344_RS00300	STM474_RS00300
STM14_RS00870	D5R57_RS00305	STM0060	SL1344_RS00305	STM474_RS00305
STM14_RS00875	D5R57_RS00310	STM0061	SL1344_RS00310	STM474_RS00310
STM14_RS00880	D5R57_RS00315	STM0062	SL1344_RS00315	STM474_RS00315
STM14_RS00885	D5R57_RS00320	STM0063	SL1344_RS00320	STM474_RS00320
STM14_RS00890	D5R57_RS00325	STM0064	SL1344_RS00325	STM474_RS00325
STM14_RS00900	D5R57_RS00335	STM0066	SL1344_RS00335	STM474_RS00335
STM14_RS00905	D5R57_RS00340	STM0067	SL1344_RS00340	STM474_RS00340
STM14_RS00915	D5R57_RS00345	STM0068	SL1344_RS00345	STM474_RS00345
STM14_RS00955	D5R57_RS00385	STM0075	SL1344_RS00385	STM474_RS00385
STM14_RS00960	D5R57_RS00390	STM0076	SL1344_RS00390	STM474_RS00390
STM14_RS00965	D5R57_RS00395	STM0077	SL1344_RS00395	STM474_RS00395
STM14_RS00975	D5R57_RS00405	STM0079	SL1344_RS00405	STM474_RS00405
STM14_RS00980	D5R57_RS00410	STM0080	SL1344_RS00410	STM474_RS00410
STM14_RS00985	D5R57_RS00415	STM0081	SL1344_RS00415	STM474_RS00415
STM14_RS01000	D5R57_RS00430	STM0084	SL1344_RS00430	STM474_RS00430
STM14_RS01005	D5R57_RS00440	STM0085	SL1344_RS00435	STM474_RS00435
STM14_RS01010	D5R57_RS00445	STM0086	SL1344_RS00440	STM474_RS00440
STM14_RS01015	D5R57_RS00455	STM0087	SL1344_RS00445	STM474_RS00445
STM14_RS01050	D5R57_RS00490	STM0094	SL1344_RS00480	STM474_RS00480
STM14_RS01075	D5R57_RS00520	STM0100	SL1344_RS00505	STM474_RS00505
STM14_RS01095	D5R57_RS00540	STM0104	SL1344_RS00525	STM474_RS00525
STM14_RS01100	D5R57_RS00545	STM0105	SL1344_RS00530	STM474_RS00530
STM14_RS01155	D5R57_RS00600	STM0115	SL1344_RS00585	STM474_RS00585
STM14_RS01160	D5R57_RS00605	STM0116	SL1344_RS00590	STM474_RS00590
STM14_RS01165	D5R57_RS00610	STM0117	SL1344_RS00595	STM474_RS00595
STM14_RS01170	D5R57_RS00615	STM0118	SL1344_RS00600	STM474_RS00600
STM14_RS01175	D5R57_RS00620	STM0119	SL1344_RS00605	STM474_RS00605
STM14_RS01180	D5R57_RS00625	STM0120	SL1344_RS00610	STM474_RS00610
STM14_RS01185	D5R57_RS00630	STM0121	SL1344_RS00615	STM474_RS00615
STM14_RS01190	D5R57_RS00635	STM0122	SL1344_RS00620	STM474_RS00620
STM14_RS01195	D5R57_RS00640	STM0123	SL1344_RS00625	STM474_RS00625
STM14_RS01200	D5R57_RS00645	STM0124	SL1344_RS00630	STM474_RS00630
STM14_RS01205	D5R57_RS00650	STM0125	SL1344_RS00635	STM474_RS00635
STM14_RS01210	D5R57_RS00655	STM0126	SL1344_RS00640	STM474_RS00640
STM14_RS01215	D5R57_RS00660	STM0127	SL1344_RS00645	STM474_RS00645
STM14_RS01220	D5R57_RS00665	STM0128	SL1344_RS00650	STM474_RS00650
STM14_RS01225	D5R57_RS00670	STM0129	SL1344_RS00655	STM474_RS00655
STM14_RS01230	D5R57_RS00675	STM0130	SL1344_RS00660	STM474_RS00660
STM14_RS01235	D5R57_RS00680	STM0131	SL1344_RS00665	STM474_RS00665
STM14_RS01240	D5R57_RS00685	STM0132	SL1344_RS00670	STM474_RS00670
STM14_RS01245	D5R57_RS00690	STM0133	SL1344_RS00675	STM474_RS00675
STM14_RS01250	D5R57_RS00695	STM0134	SL1344_RS00680	STM474_RS00680
STM14_RS01260	D5R57_RS00705	STM0136	SL1344_RS00690	STM474_RS00690
STM14_RS01265	D5R57_RS00710	STM0137	SL1344_RS00695	STM474_RS00695
STM14_RS01290	D5R57_RS00740	STM0141	SL1344_RS00720	STM474_RS00720
STM14_RS01315	D5R57_RS00770	STM0146	SL1344_RS00745	STM474_RS00745
STM14_RS01320	D5R57_RS00775	STM0147	SL1344_RS00750	STM474_RS00750
STM14_RS01340	D5R57_RS00795	STM0151	SL1344_RS00770	STM474_RS00770
STM14_RS01345	D5R57_RS00800	STM0152	SL1344_RS00775	STM474_RS00775
STM14_RS01350	D5R57_RS00805	STM0153	SL1344_RS00780	STM474_RS00780
STM14_RS01355	D5R57_RS00810	STM0154	SL1344_RS00785	STM474_RS00785
STM14_RS01360	D5R57_RS00815	STM0155	SL1344_RS00790	STM474_RS00790
STM14_RS01375	D5R57_RS00835	STM0158	SL1344_RS00805	STM474_RS00805
STM14_RS01385	D5R57_RS00845	STM0160	SL1344_RS00815	STM474_RS00815
STM14_RS01390	D5R57_RS00850	STM0161	SL1344_RS00820	STM474_RS00820
STM14_RS01395	D5R57_RS00855	STM0162	SL1344_RS00825	STM474_RS00825
STM14_RS01400	D5R57_RS00860	STM0163	SL1344_RS00830	STM474_RS00830
STM14_RS01405	D5R57_RS00865	STM0164	SL1344_RS00835	STM474_RS00835
STM14_RS01425	D5R57_RS00885	STM0168	SL1344_RS00855	STM474_RS00855
STM14_RS01435	D5R57_RS00895	STM0170	SL1344_RS00865	STM474_RS00865
STM14_RS01445	D5R57_RS00905	STM0172	SL1344_RS00875	STM474_RS00875
STM14_RS01450	D5R57_RS00910	STM0173	SL1344_RS00880	STM474_RS00880
STM14_RS01475	D5R57_RS00935	STM0178	SL1344_RS00905	STM474_RS00905
STM14_RS01480	D5R57_RS00940	STM0179	SL1344_RS00910	STM474_RS00910
STM14_RS01530	D5R57_RS00990	STM0189	SL1344_RS00960	STM474_RS00960
STM14_RS01535	D5R57_RS00995	STM0190	SL1344_RS00965	STM474_RS00965
STM14_RS01540	D5R57_RS01000	STM0191	SL1344_RS00970	STM474_RS00970
STM14_RS01545	D5R57_RS01005	STM0192	SL1344_RS00975	STM474_RS00975
STM14_RS01550	D5R57_RS01010	STM0193	SL1344_RS00980	STM474_RS00980
STM14_RS01555	D5R57_RS01015	STM0194	SL1344_RS00985	STM474_RS00985
STM14_RS01560	D5R57_RS01025	STM0195	SL1344_RS00990	STM474_RS00990
STM14_RS01565	D5R57_RS01030	STM0196	SL1344_RS00995	STM474_RS00995
STM14_RS01570	D5R57_RS01035	STM0197	SL1344_RS01000	STM474_RS01000
STM14_RS01575	D5R57_RS01040	STM0198	SL1344_RS01005	STM474_RS01005
STM14_RS01580	D5R57_RS01045	STM0199	SL1344_RS01010	STM474_RS01010
STM14_RS01585	D5R57_RS01050	STM0200	SL1344_RS01015	STM474_RS01015
STM14_RS01590	D5R57_RS01055	STM0201	SL1344_RS01020	STM474_RS01020
STM14_RS01600	D5R57_RS01065	STM0203	SL1344_RS01030	STM474_RS01030
STM14_RS01625	D5R57_RS01090	STM0208	SL1344_RS01055	STM474_RS01055
STM14_RS01630	D5R57_RS01095	STM0209	SL1344_RS01060	STM474_RS01060
STM14_RS01635	D5R57_RS01100	STM0210	SL1344_RS01065	STM474_RS01065
STM14_RS01665	D5R57_RS01135	STM0216	SL1344_RS01095	STM474_RS01095
STM14_RS01670	D5R57_RS01140	STM0217	SL1344_RS01100	STM474_RS01100
STM14_RS01675	D5R57_RS01145	STM0218	SL1344_RS01105	STM474_RS01105
STM14_RS01680	D5R57_RS01150	STM0219	SL1344_RS01110	STM474_RS01110
STM14_RS01685	D5R57_RS01155	STM0220	SL1344_RS01115	STM474_RS01115
STM14_RS01690	D5R57_RS01165	STM0221	SL1344_RS01120	STM474_RS01120
STM14_RS01695	D5R57_RS01170	STM0222	SL1344_RS01125	STM474_RS01125
STM14_RS01700	D5R57_RS01175	STM0223	SL1344_RS01130	STM474_RS01130
STM14_RS01705	D5R57_RS01180	STM0224	SL1344_RS01135	STM474_RS01135
STM14_RS01710	D5R57_RS01185	STM0225	SL1344_RS01140	STM474_RS01140
STM14_RS01715	D5R57_RS01190	STM0226	SL1344_RS01145	STM474_RS01145
STM14_RS01720	D5R57_RS01195	STM0227	SL1344_RS01150	STM474_RS01150
STM14_RS01725	D5R57_RS01200	STM0228	SL1344_RS01155	STM474_RS01155
STM14_RS01730	D5R57_RS01205	STM0229	SL1344_RS01160	STM474_RS01160
STM14_RS01735	D5R57_RS01210	STM0230	SL1344_RS01165	STM474_RS01165
STM14_RS01740	D5R57_RS01215	STM0231	SL1344_RS01170	STM474_RS01170
STM14_RS01745	D5R57_RS01220	STM0232	SL1344_RS01175	STM474_RS01175
STM14_RS01750	D5R57_RS01225	STM0233	SL1344_RS01180	STM474_RS01180
STM14_RS01760	D5R57_RS01235	STM0235	SL1344_RS01190	STM474_RS01190
STM14_RS01765	D5R57_RS01240	STM0236	SL1344_RS01195	STM474_RS01195
STM14_RS01780	D5R57_RS01255	STM0239	SL1344_RS01210	STM474_RS01210
STM14_RS01785	D5R57_RS01260	STM0240	SL1344_RS01215	STM474_RS01215
STM14_RS01825	D5R57_RS01300	STM0248	SL1344_RS01255	STM474_RS01255
STM14_RS01860	D5R57_RS01340	STM0255	SL1344_RS01290	STM474_RS01290
STM14_RS01870	D5R57_RS01350	STM0257	SL1344_RS01300	STM474_RS01300
STM14_RS01875	D5R57_RS01355	STM0258	SL1344_RS01305	STM474_RS01305
STM14_RS01880	D5R57_RS01360	STM0259	SL1344_RS01310	STM474_RS01310
STM14_RS01895	D5R57_RS01375	STM0262	SL1344_RS01325	STM474_RS01325
STM14_RS01905	D5R57_RS01385	STM0264	SL1344_RS01335	STM474_RS01335
STM14_RS01950	D5R57_RS01425	STM0272	SL1344_RS01380	STM474_RS01380
STM14_RS01955	D5R57_RS01430	STM0273	SL1344_RS01385	STM474_RS01385
STM14_RS01960	D5R57_RS01435	STM0274	SL1344_RS01390	STM474_RS01390
STM14_RS01965	D5R57_RS01445	STM0275	SL1344_RS01395	STM474_RS01395
STM14_RS01970	D5R57_RS01450	STM0276	SL1344_RS01400	STM474_RS01400
STM14_RS01975	D5R57_RS01460	STM0277	SL1344_RS01405	STM474_RS01405
STM14_RS01980	D5R57_RS01465	STM0278	SL1344_RS01410	STM474_RS01410
STM14_RS01990	D5R57_RS01475	STM0280	SL1344_RS01420	STM474_RS01420
STM14_RS01995	D5R57_RS01480	STM0281	SL1344_RS01425	STM474_RS01425
STM14_RS02000	D5R57_RS01485	STM0282	SL1344_RS01430	STM474_RS01430
STM14_RS02005	D5R57_RS01490	STM0283	SL1344_RS01435	STM474_RS01435
STM14_RS02010	D5R57_RS01500	STM0284	SL1344_RS01440	STM474_RS01440
STM14_RS02015	D5R57_RS01505	STM0285	SL1344_RS01445	STM474_RS01445
STM14_RS02020	D5R57_RS01510	STM0286	SL1344_RS01450	STM474_RS01450
STM14_RS02025	D5R57_RS01515	STM0287	SL1344_RS01455	STM474_RS01455
STM14_RS02030	D5R57_RS01520	STM0288	SL1344_RS01460	STM474_RS01460
STM14_RS02035	D5R57_RS01530	STM0289	SL1344_RS01465	STM474_RS01465
STM14_RS02040	D5R57_RS01535	STM0290	SL1344_RS01470	STM474_RS01470
STM14_RS02060	D5R57_RS01555	STM0293	SL1344_RS01490	STM474_RS01490
STM14_RS02065	D5R57_RS01560	STM0294	SL1344_RS01495	STM474_RS01495
STM14_RS02075	D5R57_RS01575	STM0295	SL1344_RS01505	STM474_RS01505
STM14_RS02095	D5R57_RS01590	STM0299	SL1344_RS01525	STM474_RS01525
STM14_RS02100	D5R57_RS01595	STM0300	SL1344_RS01530	STM474_RS01530
STM14_RS02105	D5R57_RS01600	STM0301	SL1344_RS01535	STM474_RS01535
STM14_RS02110	D5R57_RS01605	STM0302	SL1344_RS01540	STM474_RS01540
STM14_RS02115	D5R57_RS01610	STM0303	SL1344_RS01545	STM474_RS01545
STM14_RS02130	D5R57_RS01620	STM0304	SL1344_RS01560	STM474_RS01560
STM14_RS02135	D5R57_RS01625	STM0305	SL1344_RS01565	STM474_RS01565
STM14_RS02160	D5R57_RS01655	STM0310	SL1344_RS01590	STM474_RS01590
STM14_RS02165	D5R57_RS01660	STM0311	SL1344_RS01595	STM474_RS01595
STM14_RS02175	D5R57_RS01670	STM0313	SL1344_RS01605	STM474_RS01605
STM14_RS02185	D5R57_RS01680	STM0315	SL1344_RS01615	STM474_RS01615
STM14_RS02195	D5R57_RS01690	STM0317	SL1344_RS01625	STM474_RS01625
STM14_RS02200	D5R57_RS01695	STM0318	SL1344_RS01630	STM474_RS01630
STM14_RS02205	D5R57_RS01700	STM0319	SL1344_RS01635	STM474_RS01635
STM14_RS02215	D5R57_RS01710	STM0321	SL1344_RS01645	STM474_RS01645
STM14_RS02220	D5R57_RS01715	STM0322	SL1344_RS01650	STM474_RS01650
STM14_RS02245	D5R57_RS02065	STM0327	SL1344_RS01675	STM474_RS01675
STM14_RS02250	D5R57_RS02070	STM0328	SL1344_RS01680	STM474_RS01680
STM14_RS02260	D5R57_RS02080	STM0330	SL1344_RS01690	STM474_RS01690
STM14_RS02265	D5R57_RS02085	STM0331	SL1344_RS01695	STM474_RS01695
STM14_RS02270	D5R57_RS02090	STM0332	SL1344_RS01700	STM474_RS01700
STM14_RS02275	D5R57_RS02095	STM0333	SL1344_RS01705	STM474_RS01705
STM14_RS02285	D5R57_RS02105	STM0335	SL1344_RS01715	STM474_RS01715
STM14_RS02315	D5R57_RS02135	STM0341	SL1344_RS01745	STM474_RS01745
STM14_RS02325	D5R57_RS02150	STM0343	SL1344_RS01755	STM474_RS01755
STM14_RS02330	D5R57_RS02155	STM0344	SL1344_RS01760	STM474_RS01760
STM14_RS02335	D5R57_RS02160	STM0345	SL1344_RS01765	STM474_RS01765
STM14_RS02340	D5R57_RS02165	STM0346	SL1344_RS01770	STM474_RS01770
STM14_RS02345	D5R57_RS02170	STM0347	SL1344_RS01775	STM474_RS01775
STM14_RS02350	D5R57_RS02175	STM0348	SL1344_RS01780	STM474_RS01780
STM14_RS02355	D5R57_RS02180	STM0349	SL1344_RS01785	STM474_RS01785
STM14_RS02375	D5R57_RS02200	STM0353	SL1344_RS01805	STM474_RS01805
STM14_RS02380	D5R57_RS02205	STM0354	SL1344_RS01810	STM474_RS01810
STM14_RS02385	D5R57_RS02210	STM0355	SL1344_RS01815	STM474_RS01815
STM14_RS02395	D5R57_RS02215	STM0356	SL1344_RS01825	STM474_RS01825
STM14_RS02400	D5R57_RS02220	STM0357	SL1344_RS01830	STM474_RS01830
STM14_RS02405	D5R57_RS02225	STM0358	SL1344_RS01835	STM474_RS01835
STM14_RS02410	D5R57_RS02230	STM0359	SL1344_RS01840	STM474_RS01840
STM14_RS02415	D5R57_RS02235	STM0360	SL1344_RS01845	STM474_RS01845
STM14_RS02420	D5R57_RS02240	STM0361	SL1344_RS01850	STM474_RS01850
STM14_RS02425	D5R57_RS02245	STM0362	SL1344_RS01855	STM474_RS01855
STM14_RS02430	D5R57_RS02250	STM0363	SL1344_RS01860	STM474_RS01860
STM14_RS02435	D5R57_RS02255	STM0364	SL1344_RS01865	STM474_RS01865
STM14_RS02445	D5R57_RS02265	STM0366	SL1344_RS01875	STM474_RS01875
STM14_RS02455	D5R57_RS02275	STM0368	SL1344_RS01885	STM474_RS01885
STM14_RS02460	D5R57_RS02280	STM0369	SL1344_RS01890	STM474_RS01890
STM14_RS02465	D5R57_RS02285	STM0370	SL1344_RS01895	STM474_RS01895
STM14_RS02470	D5R57_RS02290	STM0371	SL1344_RS01900	STM474_RS01900
STM14_RS02480	D5R57_RS02300	STM0373	SL1344_RS01910	STM474_RS01910
STM14_RS02485	D5R57_RS02305	STM0374	SL1344_RS01915	STM474_RS01915
STM14_RS02495	D5R57_RS02320	STM0376	SL1344_RS01925	STM474_RS01925
STM14_RS02500	D5R57_RS02325	STM0377	SL1344_RS01930	STM474_RS01930
STM14_RS02510	D5R57_RS02335	STM0379	SL1344_RS01940	STM474_RS01940
STM14_RS02520	D5R57_RS02345	STM0381	SL1344_RS01950	STM474_RS01950
STM14_RS02525	D5R57_RS02350	STM0382	SL1344_RS01955	STM474_RS01955
STM14_RS02530	D5R57_RS02355	STM0383	SL1344_RS01960	STM474_RS01960
